Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Hungary,Hungary,HU,247.41,279.29,71.03,15.25,entsoe.eu,false,
2023-01-01 01:00:00,Hungary,Hungary,HU,262.28,294.95,69.85,14.44,entsoe.eu,false,
2023-01-01 02:00:00,Hungary,Hungary,HU,247.15,278.89,72.0,15.3,entsoe.eu,false,
2023-01-01 03:00:00,Hungary,Hungary,HU,239.27,269.92,72.72,14.24,entsoe.eu,false,
2023-01-01 04:00:00,Hungary,Hungary,HU,236.54,267.06,72.96,13.57,entsoe.eu,false,
2023-01-01 05:00:00,Hungary,Hungary,HU,237.36,269.04,72.38,13.68,entsoe.eu,false,
2023-01-01 06:00:00,Hungary,Hungary,HU,247.9,280.61,71.12,14.12,entsoe.eu,false,
2023-01-01 07:00:00,Hungary,Hungary,HU,220.43,251.5,73.62,16.41,entsoe.eu,false,
2023-01-01 08:00:00,Hungary,Hungary,HU,192.07,221.47,77.29,21.55,entsoe.eu,false,
2023-01-01 09:00:00,Hungary,Hungary,HU,177.98,206.83,78.93,24.08,entsoe.eu,false,
2023-01-01 10:00:00,Hungary,Hungary,HU,175.97,206.01,78.36,24.87,entsoe.eu,false,
2023-01-01 11:00:00,Hungary,Hungary,HU,173.94,204.0,78.36,23.84,entsoe.eu,false,
2023-01-01 12:00:00,Hungary,Hungary,HU,173.79,204.52,78.01,21.96,entsoe.eu,false,
2023-01-01 13:00:00,Hungary,Hungary,HU,182.98,214.04,77.11,20.55,entsoe.eu,false,
2023-01-01 14:00:00,Hungary,Hungary,HU,205.45,237.81,74.68,18.46,entsoe.eu,false,
2023-01-01 15:00:00,Hungary,Hungary,HU,216.73,248.32,74.6,20.24,entsoe.eu,false,
2023-01-01 16:00:00,Hungary,Hungary,HU,214.92,244.98,75.64,21.46,entsoe.eu,false,
2023-01-01 17:00:00,Hungary,Hungary,HU,217.05,247.08,75.5,20.84,entsoe.eu,false,
2023-01-01 18:00:00,Hungary,Hungary,HU,222.86,252.03,75.88,21.57,entsoe.eu,false,
2023-01-01 19:00:00,Hungary,Hungary,HU,226.02,256.18,74.65,19.45,entsoe.eu,false,
2023-01-01 20:00:00,Hungary,Hungary,HU,225.43,257.22,73.3,17.17,entsoe.eu,false,
2023-01-01 21:00:00,Hungary,Hungary,HU,222.91,254.04,73.1,14.69,entsoe.eu,false,
2023-01-01 22:00:00,Hungary,Hungary,HU,222.54,254.09,72.8,14.11,entsoe.eu,false,
2023-01-01 23:00:00,Hungary,Hungary,HU,240.68,273.04,71.39,12.1,entsoe.eu,false,
2023-01-02 00:00:00,Hungary,Hungary,HU,229.41,261.09,72.01,10.35,entsoe.eu,false,
2023-01-02 01:00:00,Hungary,Hungary,HU,221.82,254.01,71.8,9.09,entsoe.eu,false,
2023-01-02 02:00:00,Hungary,Hungary,HU,218.26,250.78,72.21,9.27,entsoe.eu,false,
2023-01-02 03:00:00,Hungary,Hungary,HU,218.48,252.1,72.52,10.45,entsoe.eu,false,
2023-01-02 04:00:00,Hungary,Hungary,HU,230.74,265.06,71.03,10.84,entsoe.eu,false,
2023-01-02 05:00:00,Hungary,Hungary,HU,237.84,271.17,70.22,11.32,entsoe.eu,false,
2023-01-02 06:00:00,Hungary,Hungary,HU,225.18,256.06,72.4,12.8,entsoe.eu,false,
2023-01-02 07:00:00,Hungary,Hungary,HU,218.54,250.91,72.5,16.22,entsoe.eu,false,
2023-01-02 08:00:00,Hungary,Hungary,HU,206.18,239.76,72.4,19.52,entsoe.eu,false,
2023-01-02 09:00:00,Hungary,Hungary,HU,210.4,245.25,71.65,21.54,entsoe.eu,false,
2023-01-02 10:00:00,Hungary,Hungary,HU,200.69,232.65,74.34,24.26,entsoe.eu,false,
2023-01-02 11:00:00,Hungary,Hungary,HU,209.32,241.4,74.06,24.25,entsoe.eu,false,
2023-01-02 12:00:00,Hungary,Hungary,HU,203.9,238.82,72.74,21.73,entsoe.eu,false,
2023-01-02 13:00:00,Hungary,Hungary,HU,222.08,258.19,70.57,18.99,entsoe.eu,false,
2023-01-02 14:00:00,Hungary,Hungary,HU,243.54,280.09,68.61,16.58,entsoe.eu,false,
2023-01-02 15:00:00,Hungary,Hungary,HU,272.57,307.72,67.39,16.75,entsoe.eu,false,
2023-01-02 16:00:00,Hungary,Hungary,HU,270.55,304.3,68.19,18.14,entsoe.eu,false,
2023-01-02 17:00:00,Hungary,Hungary,HU,265.55,298.3,68.86,18.14,entsoe.eu,false,
